,A,Follows B,A_lat,A_lng,B_lat,B_lng,,user_screen_name,user_statuses_count,user_verified,lat,lng
212,PrisonPlanet,stranahan,51.5073509,-0.1277583,38.9071923,-77.0368707,,,,,,
213,CathyYoung63,stranahan,40.0583238,-74.4056612,38.9071923,-77.0368707,,,,,,
214,Grummz,TheBrandonMorse,33.791638,-84.389488,32.7766642,-96.7969879,,,,,,
215,TheBrandonMorse,Grummz,32.7766642,-96.7969879,33.791638,-84.389488,,,,,,
216,Grummz,Cernovich,33.791638,-84.389488,33.7174708,-117.8311428,,,,,,
217,Cernovich,Grummz,33.7174708,-117.8311428,33.791638,-84.389488,,,,,,
218,Grummz,oliverbcampbell,33.791638,-84.389488,41.8780025,-93.097702,,,,,,
219,oliverbcampbell,Grummz,41.8780025,-93.097702,33.791638,-84.389488,,,,,,
220,PrisonPlanet,Grummz,51.5073509,-0.1277583,33.791638,-84.389488,,,,,,
221,Grummz,Deceptive_Games,33.791638,-84.389488,52.1306607,-3.7837117,,,,,,
222,Grummz,redlianak,33.791638,-84.389488,43.653226,-79.3831843,,,,,,
223,redlianak,Grummz,43.653226,-79.3831843,33.791638,-84.389488,,,,,,
224,CathyYoung63,Grummz,40.0583238,-74.4056612,33.791638,-84.389488,,,,,,
225,ChrisCaesar,kerrymflynn,NA,NA,40.7127753,-74.0059728,,,,,,
226,kerrymflynn,ChrisCaesar,40.7127753,-74.0059728,NA,NA,,,,,,
227,ChrisCaesar,willsommer,NA,NA,38.9071923,-77.0368707,,,,,,
228,willsommer,ChrisCaesar,38.9071923,-77.0368707,NA,NA,,,,,,
229,ChrisCaesar,HKesvani,NA,NA,51.5073509,-0.1277583,,,,,,
230,HKesvani,ChrisCaesar,51.5073509,-0.1277583,NA,NA,,,,,,
231,ChrisCaesar,philhornshaw,NA,NA,34.0522342,-118.2436849,,,,,,
232,ChrisCaesar,brockwilbur,NA,NA,34.0485672,-118.2358691,,,,,,
233,brockwilbur,ChrisCaesar,34.0485672,-118.2358691,NA,NA,,,,,,
234,HashtagGriswold,ChrisCaesar,40.5922619,-82.1905578,NA,NA,,,,,,
235,schwarz,ChrisCaesar,33.791638,-84.389488,NA,NA,,,,,,
236,ChrisCaesar,k_delamont,NA,NA,51.253775,-85.323214,,,,,,
237,VentureBeat,kerrymflynn,40.769436,-73.962679,40.7127753,-74.0059728,,,,,,
238,sarahmei,kerrymflynn,37.7749295,-122.4194155,40.7127753,-74.0059728,,,,,,
239,jason_pontin,kerrymflynn,42.3736158,-71.1097335,40.7127753,-74.0059728,,,,,,
240,willsommer,Cernovich,38.9071923,-77.0368707,33.7174708,-117.8311428,,,,,,
241,Cernovich,willsommer,33.7174708,-117.8311428,38.9071923,-77.0368707,,,,,,
242,PrisonPlanet,willsommer,51.5073509,-0.1277583,38.9071923,-77.0368707,,,,,,
243,willsommer,CathyYoung63,38.9071923,-77.0368707,40.0583238,-74.4056612,,,,,,
244,nberlat,sofakissen,41.8781136,-87.6297982,52.5200066,13.404954,,,,,,
245,mistertodd,sofakissen,-43.526192,172.630302,52.5200066,13.404954,,,,,,
246,UnburntWitch,sofakissen,38.898514,-77.010664,52.5200066,13.404954,,,,,,
247,VentureBeat,sofakissen,40.769436,-73.962679,52.5200066,13.404954,,,,,,
248,nberlat,philhornshaw,41.8781136,-87.6297982,34.0522342,-118.2436849,,,,,,
249,philhornshaw,nberlat,34.0522342,-118.2436849,41.8781136,-87.6297982,,,,,,
250,nberlat,UnburntWitch,41.8781136,-87.6297982,38.898514,-77.010664,,,,,,
251,UnburntWitch,nberlat,38.898514,-77.010664,41.8781136,-87.6297982,,,,,,
252,nberlat,CathyYoung63,41.8781136,-87.6297982,40.0583238,-74.4056612,,,,,,
253,CathyYoung63,nberlat,40.0583238,-74.4056612,41.8781136,-87.6297982,,,,,,
254,HKesvani,earleyedition,51.5073509,-0.1277583,-33.8688197,151.2092955,,,,,,
