,user_id,in_reply_to_user_id
8989,2586377694,305433319
8990,7.82E+17,8.72E+17
8993,237572596,19331721
8995,305433319,2586377694
8998,2575007515,65974890
8999,8.20E+17,23046474
9005,909113317,3420477195
9012,9.08E+17,2955460223
9015,8.47E+17,8.47E+17
9017,1158473863,4571328341
9028,3405591291,32652567
9041,2810395514,2951963678
9042,8.59E+17,4571328341
9047,172082238,32652567
9064,8.15E+17,7.60E+17
9075,8.80E+17,91042156
9079,2738046367,8.42E+17
9081,4198141815,284565044
9094,866937038,909460368
9096,8.76E+17,746578496
9097,909460368,866937038
9099,21063394,39344374
9100,8.32E+17,65974890
9101,909460368,866937038
9105,164349995,3305755597
9106,2738046367,8.42E+17
9108,4198141815,284565044
9118,8.21E+17,7.97E+17
9120,634338292,9.07E+17
9124,7.97E+17,8.21E+17
9132,2738046367,8.42E+17
9134,909460368,866937038
9138,2738046367,8.42E+17
9139,909460368,866937038
9141,2738046367,2738046367
9142,8.89E+17,2440647629
9147,2564414675,19576148
9152,1615788481,7.83E+17
9155,7.16E+17,2951963678
9157,8.42E+17,299158008
9159,793453176,14155052
9162,2440647629,22996742
9164,61062008,13783772
9167,2564414675,19576148
9170,3290118289,15070269
9173,4174522154,936981026
9179,540379337,39344374
9185,1958752104,176437833
9196,4198141815,105824690
9197,2774188688,2951963678
9200,2586934003,70295497
9201,8.98E+17,65974890
9202,7.37E+17,8.06E+17
9204,299158008,8.42E+17
9207,186533773,186533773
9210,188414672,454521240
9219,864090907,65974890
9232,312503188,815625522
9233,2239306808,73383259
9234,305433319,3102255530
9236,7.02E+17,11928542
9237,8.83E+17,7.60E+17
9238,2239306808,8.54E+17
9240,4861943671,65974890
9250,2239306808,150102533
9251,1611995112,1563611642
9253,331418800,59262114
9256,4198141815,215508074
9260,4127500633,4127500633
9266,2984463587,7.60E+17
9268,1563611642,2853725270
9274,4191974301,7.56E+17
9275,2167929986,481039712
9279,2307192068,90808102
9285,2593706066,2951963678
9291,9.23E+17,8.72E+17
9300,7.13E+17,7.35E+17
9302,215508074,215508074
9303,215508074,215508074
9306,215508074,215508074
9311,215508074,215508074
9312,215508074,215508074
9314,59080395,282371758
9315,305433319,538645723
9316,215508074,215508074
9320,58946675,8.88E+17
9321,8.76E+17,14166235
9327,7.97E+17,7.97E+17
9341,444534532,9.17E+17
9366,8.32E+17,1706302074
9373,3306492116,7.03E+17
9379,16787257,14173315
9390,139547683,14155052
9391,8.32E+17,14173315
9398,16734517,2999158160
9399,2794782427,2951963678
9400,8.69E+17,2244261294
9402,8.25E+17,180262214
9412,151348322,1498951
9416,9.15E+17,14529929
9420,1458908486,1458908486
9422,8.33E+17,14817768
9427,8.33E+17,14817768
9438,7.78E+17,168717945
9439,7.25E+17,384560959
9445,8.20E+17,3391923453
9447,7.85E+17,7.85E+17
9450,312503188,312503188
9460,3885858613,3069068019
9461,2858665159,936981026
9466,3484459758,9.22E+17
9469,312503188,312503188
9481,2617692338,83339474
9485,316904219,7.59E+17
9493,195858236,8.16E+17
9494,87554706,110111500
9510,164349995,7.59E+17
9511,14587109,14587109
9518,7.59E+17,7.69E+17
9519,7.69E+17,7.59E+17
9528,3138449127,14155052
9529,3138449127,14155052
9530,8.33E+17,2192341766
9532,7.59E+17,316904219
9536,7.89E+17,7.93E+17
